Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age
815,Hyundai i10 Sportz,Kochi,2016,21456,First,20.36,1197.0,78.9,5.0,4.55,False,True,True,8
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Second,17.0,1896.0,105.0,5.0,7.75,False,False,False,15
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Second,18.6,1197.0,81.83,5.0,5.25,False,True,True,9
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,First,11.5,2993.0,235.0,5.0,23.29,False,False,False,11
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,First,22.69,1995.0,190.0,5.0,23.99,False,False,False,8
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,First,14.49,1399.0,92.7,5.0,1.79,False,True,True,14
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Second,14.21,2143.0,203.0,5.0,13.9,False,False,False,13
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,First,17.68,1968.0,174.33,5.0,18.95,False,False,False,11
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,First,20.51,998.0,67.04,5.0,2.49,False,True,True,10
824,Renault KWID RXT,Jaipur,2016,4152,First,25.17,799.0,53.3,5.0,3.15,False,True,True,8
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,21.66,1498.0,108.62,5.0,6.45,False,False,True,7
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,First,22.07,1199.0,73.9,5.0,4.25,False,False,True,11
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,First,22.74,796.0,47.3,5.0,2.75,False,True,True,10
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,First,18.6,1197.0,81.83,5.0,7.14,False,True,True,7
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Third,17.0,1197.0,80.0,5.0,3.5,False,True,True,12
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,First,22.54,1396.0,88.73,5.0,7.3,False,False,True,7
832,Maruti Wagon R LXI Optional,Kolkata,2014,25000,First,20.51,998.0,67.04,5.0,2.75,False,True,True,10
833,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Second,22.54,1396.0,88.73,5.0,8.2,False,False,True,7
834,Volkswagen Polo GT TSI,Mumbai,2015,57022,First,17.21,1197.0,103.6,5.0,6.51,False,True,False,9
835,Ford Figo Diesel Titanium,Pune,2015,92000,First,20.0,1399.0,68.05,5.0,4.25,False,False,True,9
836,Maruti Swift ZXI,Coimbatore,2014,33372,Second,18.6,1197.0,85.8,5.0,6.21,False,True,True,10
837,Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,First,24.0,1120.0,70.0,5.0,4.58,False,False,True,8
838,Mahindra Xylo H4,Chennai,2016,215000,First,14.02,2179.0,118.3,7.0,7.5,False,False,True,8
840,Hyundai i10 Magna 1.1,Coimbatore,2014,60138,First,19.81,1086.0,68.05,5.0,4.09,False,True,True,10
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,First,19.3,1968.0,141.0,5.0,10.75,False,False,False,10
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,First,15.97,2993.0,258.0,7.0,41.5,False,False,False,10
843,Maruti Celerio VXI AT,Hyderabad,2014,33450,First,23.1,998.0,67.04,5.0,4.4,False,True,False,10
844,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Second,20.54,1598.0,103.6,5.0,6.25,False,False,True,11
845,BMW 3 Series 320d Highline,Pune,2011,99606,Second,16.07,1995.0,181.0,5.0,10.5,False,False,False,13
846,Maruti Ertiga ZDI,Mumbai,2014,64000,First,20.77,1248.0,88.8,7.0,7.25,False,False,True,10
847,Ford Figo Diesel ZXI,Hyderabad,2013,51000,First,20.0,1399.0,68.05,5.0,3.2,False,False,True,11
848,Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,First,16.47,1198.0,74.0,5.0,3.95,False,True,True,10
849,Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Second,16.77,2967.0,241.38,5.0,12.07,False,False,False,15
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,13.68,2393.0,147.8,7.0,18.6,False,False,True,7
851,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,First,22.32,1582.0,126.3,5.0,5.7,False,False,False,11
852,Hyundai Santro Xing GL Plus,Kolkata,2013,31000,First,17.92,1086.0,62.1,5.0,1.75,False,True,True,11
853,Audi A4 2.0 TDI,Delhi,2011,46000,Second,16.55,1968.0,147.51,5.0,10.99,False,False,False,13
854,Audi A4 2.0 TDI,Kolkata,2012,47346,First,16.55,1968.0,147.51,5.0,14.5,False,False,False,12
855,Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,First,17.0,1896.0,105.0,5.0,3.11,False,False,True,15
856,Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,First,13.7,1997.0,153.86,5.0,13.96,False,True,False,9
857,Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,First,22.32,1582.0,126.32,5.0,7.11,False,False,True,9
858,Honda Mobilio RS i DTEC,Chennai,2014,23000,First,24.5,1498.0,98.6,7.0,6.9,False,False,True,10
859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,First,18.6,1197.0,81.83,5.0,7.77,False,True,True,6
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Second,12.8,2494.0,102.0,8.0,5.5,False,False,True,13
861,Hyundai i20 Magna 1.2,Hyderabad,2014,70089,First,18.6,1197.0,81.83,5.0,5.35,False,True,True,10
862,Mahindra Bolero VLX BS IV,Chennai,2011,99000,Second,13.6,2523.0,63.0,7.0,4.5,False,False,True,13
863,Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,First,20.34,1498.0,103.2,5.0,4.75,False,False,True,10
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,First,16.36,2179.0,187.7,5.0,32.8,False,False,False,9
865,Maruti Zen LXi - BS III,Mumbai,2005,102000,First,17.3,993.0,60.0,5.0,0.7,False,True,True,19
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,First,13.0,2987.0,258.0,5.0,50.29,False,False,False,6
867,Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Second,11.5,2982.0,171.0,7.0,10.99,False,False,True,14
868,Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,First,18.9,1197.0,82.0,5.0,5.57,False,True,False,9
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,25.4,1186.0,73.97,5.0,5.9,False,False,True,6
870,Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,First,15.29,1591.0,121.3,5.0,9.43,False,True,True,8
871,Hyundai i10 Sportz,Bangalore,2010,69000,First,20.36,1197.0,78.9,5.0,2.9,False,True,True,14
872,Honda Brio S MT,Delhi,2016,32700,First,19.4,1198.0,86.8,5.0,3.68,False,True,True,8
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,First,12.55,2982.0,168.5,7.0,21.67,False,False,False,9
874,Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,First,16.55,1968.0,140.0,5.0,12.5,False,False,False,13
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,11.36,2755.0,171.5,7.0,19.92,False,False,False,6
876,Honda City i DTEC VX,Jaipur,2014,71649,First,25.1,1498.0,98.6,5.0,6.75,False,False,True,10
877,Honda City i DTEC VX,Kochi,2015,80606,First,25.1,1498.0,98.6,5.0,6.96,False,False,True,9
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,21.7,999.0,67.0,5.0,3.25,False,True,True,7
879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,First,28.4,1248.0,74.0,5.0,8.65,False,False,True,6
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,23.1,998.0,67.04,5.0,5.0,False,True,False,7
881,Mahindra XUV500 W8 2WD,Delhi,2011,66000,First,15.1,2179.0,140.0,7.0,5.5,False,False,True,13
882,Hyundai i10 Magna,Jaipur,2010,66770,Second,20.36,1197.0,78.9,5.0,2.6,False,True,True,14
883,Hyundai i10 Magna 1.1,Kochi,2014,58472,First,19.81,1086.0,68.05,5.0,3.41,False,True,True,10
884,Maruti Dzire VXI,Kolkata,2011,46687,First,22.0,1197.0,81.8,5.0,2.7,False,True,True,13
885,Maruti Grand Vitara AT,Chennai,2008,77000,Fourth & Above,9.7,1995.0,163.5,5.0,5.5,False,True,False,16
886,Audi TT 40 TFSI,Kolkata,2012,7000,First,14.33,1984.0,226.6,4.0,35.0,False,True,False,12
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Second,14.74,1991.0,184.0,5.0,9.75,False,True,False,13
888,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,First,21.64,1461.0,84.8,5.0,4.25,False,False,True,11
889,Maruti Wagon R LXI,Ahmedabad,2015,51530,First,18.9,998.0,67.1,5.0,3.2,False,True,True,9
890,Maruti Swift Dzire ZDI,Bangalore,2014,25789,Second,23.4,1248.0,74.0,5.0,6.85,False,False,True,10
891,Honda Amaze S i-Dtech,Delhi,2015,48000,First,25.8,1498.0,98.6,5.0,4.5,False,False,True,9
892,Maruti Swift ZDI,Delhi,2012,52000,First,28.4,1248.0,74.0,5.0,3.55,False,False,True,12
894,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,First,10.5,2609.0,120.0,7.0,3.6,False,False,True,16
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,First,13.0,2143.0,201.1,5.0,21.8,False,False,False,9
896,Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Second,13.0,2982.0,168.5,7.0,13.5,False,False,True,12
897,Datsun redi-GO T Option,Bangalore,2016,20487,First,22.7,799.0,53.64,5.0,2.66,False,True,True,8
898,Honda City V MT,Delhi,2010,43000,Second,16.8,1497.0,116.3,5.0,3.75,False,True,True,14
899,Toyota Camry Hybrid,Pune,2018,17000,First,19.16,2494.0,158.2,5.0,32.0,False,True,False,6
900,Honda City i DTec V,Coimbatore,2016,60805,First,26.0,1498.0,98.6,5.0,8.07,False,False,True,8
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Kochi,2012,58775,First,19.33,1968.0,138.1,5.0,5.64,False,False,True,12
902,Audi A6 2011-2015 2.0 TDI,Hyderabad,2013,70181,First,17.68,1968.0,174.33,5.0,23.99,False,False,False,11
903,Maruti Ertiga VDI,Coimbatore,2016,85827,First,20.77,1248.0,88.76,7.0,7.5,False,False,True,8
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,58205,First,19.27,2143.0,167.62,5.0,27.0,False,False,False,8
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2008,91000,Second,19.3,1248.0,73.9,5.0,2.85,False,False,True,16
906,Renault Duster 110PS Diesel RxZ Pack,Pune,2012,74000,First,19.01,1461.0,108.45,5.0,6.35,False,False,True,12
907,Maruti Ritz VDi,Hyderabad,2010,79324,First,21.1,1248.0,73.9,5.0,3.3,False,False,True,14
908,Maruti Swift Dzire VXI,Bangalore,2013,38623,First,19.1,1197.0,85.8,5.0,5.0,False,True,True,11
909,Maruti Swift ZDi,Coimbatore,2014,59923,First,22.9,1248.0,74.0,5.0,6.46,False,False,True,10
910,Hyundai EON Sportz,Jaipur,2017,23360,First,21.1,814.0,55.2,5.0,3.75,False,True,True,7
911,Maruti Zen VXI BSII,Kochi,2003,61495,Third,17.3,993.0,60.0,5.0,1.52,False,True,True,21
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,15.1,1196.0,73.0,7.0,3.61,False,True,True,12
913,Audi Q5 30 TDI quattro Premium,Coimbatore,2017,40318,First,14.16,1968.0,174.3,5.0,43.74,False,False,False,7
914,Audi Q3 2.0 TDI,Chennai,2014,60000,First,15.73,1968.0,174.33,5.0,20.0,False,False,False,10
916,Maruti Swift Dzire VDi,Hyderabad,2010,130000,First,19.3,1248.0,73.9,5.0,3.65,False,False,True,14
917,Tata Sumo DX,Mumbai,2013,20000,First,14.07,1978.0,83.1,10.0,5.25,False,False,True,11
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,First,15.97,2993.0,258.0,7.0,58.0,False,False,False,8
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,18.0,1497.0,117.3,5.0,8.65,False,True,False,9
920,Tata Indigo eCS eLX BS IV,Delhi,2015,150000,First,25.0,1396.0,69.01,5.0,2.5,False,False,True,9
921,Volkswagen Vento TSI,Chennai,2014,28000,First,16.93,1197.0,103.6,5.0,7.75,False,True,False,10
922,Maruti Celerio VXI,Bangalore,2015,74000,First,23.1,998.0,67.04,5.0,4.15,False,True,True,9
923,Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,First,11.5,2982.0,171.0,7.0,10.85,False,False,True,13
924,Mitsubishi Outlander 2.4,Delhi,2010,76000,Second,11.3,2360.0,170.0,5.0,5.53,False,True,False,14
925,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,First,15.5,1896.0,105.0,5.0,11.5,False,False,False,10
927,Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,First,19.67,1582.0,126.2,5.0,9.25,False,False,True,9
928,Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,First,17.5,1198.0,75.0,5.0,2.29,False,True,True,13
929,Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,First,22.77,1498.0,98.59,5.0,7.0,False,False,True,9
930,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Second,18.2,1061.0,64.0,5.0,1.65,False,True,True,17
931,Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,First,20.73,1373.0,91.1,5.0,8.25,False,True,True,7
932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,First,14.74,1991.0,181.03,5.0,9.14,False,True,False,13
933,Honda Amaze SX i-VTEC,Hyderabad,2016,33000,First,17.8,1198.0,86.7,5.0,6.5,False,True,True,8
935,Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,First,19.87,1461.0,83.8,5.0,5.75,False,False,True,9
937,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Second,16.47,1198.0,73.9,5.0,2.1,False,True,True,13
938,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,First,19.67,1582.0,126.2,5.0,13.55,False,False,True,7
939,Jaguar XF Diesel,Kolkata,2012,43510,First,14.74,2993.0,270.9,5.0,20.5,False,False,False,12
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,16.3,1956.0,170.0,5.0,20.0,False,False,True,7
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,15.68,1999.0,177.0,5.0,59.72,False,False,False,6
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,27.39,1248.0,74.0,5.0,6.5,False,False,True,8
943,Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,First,28.09,1248.0,88.5,5.0,7.5,False,False,True,8
944,Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Second,15.0,1586.0,104.68,5.0,2.15,False,True,True,17
945,Hyundai Elantra CRDi SX,Coimbatore,2015,53615,First,22.7,1582.0,126.24,5.0,8.44,False,False,True,9
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,13.5,2477.0,175.56,7.0,12.49,False,False,True,11
947,Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,First,17.0,1198.0,73.75,5.0,5.48,False,True,True,7
948,Maruti Ritz VXi,Hyderabad,2013,35433,First,18.5,1197.0,85.8,5.0,4.2,False,True,True,11
949,Hyundai Verna CRDi SX,Hyderabad,2013,82966,First,16.8,1493.0,110.0,5.0,7.2,False,False,True,11
950,Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,First,23.4,1248.0,74.0,5.0,4.8,False,False,True,10
951,Mahindra KUV 100 mFALCON D75 K6,Kochi,2017,39528,First,25.32,1198.0,77.0,6.0,5.83,False,False,True,7
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,13.68,2393.0,147.8,7.0,18.39,False,False,True,6
953,Maruti Baleno Delta 1.2,Pune,2016,14930,First,21.4,1197.0,83.1,5.0,5.85,False,True,True,8
954,Honda Jazz VX Diesel,Mumbai,2016,38000,First,27.3,1498.0,98.6,5.0,6.21,False,False,True,8
955,Hyundai i20 1.2 Asta,Delhi,2013,71000,First,17.0,1197.0,80.0,5.0,3.65,False,True,True,11
956,Hyundai i20 Sportz Diesel,Delhi,2012,71000,First,23.0,1396.0,90.0,5.0,3.7,False,False,True,12
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,First,19.27,2143.0,167.62,5.0,30.0,False,False,False,9
958,Hyundai Xcent 1.2 Kappa Base,Kochi,2016,48163,First,19.1,1197.0,82.0,5.0,4.85,False,True,True,8
959,Hyundai Grand i10 AT Asta,Coimbatore,2017,19168,First,18.9,1197.0,82.0,5.0,6.93,False,True,False,7
960,Maruti Alto 800 VXI,Kolkata,2016,26000,First,22.74,796.0,47.3,5.0,2.6,False,True,True,8
961,Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,37400,First,18.2,1199.0,82.5,5.0,1.89,False,True,True,10
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0.0,1950.0,194.0,5.0,39.5,False,False,False,6
963,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2012,95000,First,13.7,1798.0,157.75,5.0,10.0,False,True,False,12
964,Audi A4 2.0 TDI,Kolkata,2009,34000,First,16.55,1968.0,147.51,5.0,9.95,False,False,False,15
965,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2014,95000,Second,12.8,2494.0,102.0,8.0,9.45,False,False,True,10
966,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,First,17.9,2143.0,136.0,5.0,28.25,False,False,False,7
967,Hyundai i10 Era,Jaipur,2008,84000,Second,19.81,1086.0,68.05,5.0,1.8,False,True,True,16
968,Maruti Swift Dzire VXi,Kolkata,2008,47000,Second,17.5,1298.0,85.8,5.0,1.4,False,True,True,16
969,Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,First,21.66,1498.0,103.52,5.0,7.25,False,False,False,9
970,Maruti Ritz VDi,Hyderabad,2012,96000,First,21.1,1248.0,73.9,5.0,3.6,False,False,True,12
971,Hyundai Accent GLS 1.6,Jaipur,2004,47300,Second,14.4,1599.0,94.0,5.0,1.2,False,True,True,20
972,Honda Amaze SX i-VTEC,Coimbatore,2014,28246,Second,17.8,1198.0,86.7,5.0,4.94,False,True,True,10
973,Maruti Wagon R LXI,Delhi,2007,65000,Second,18.9,998.0,67.1,5.0,1.25,False,True,True,17
974,Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2013,68000,Second,22.07,1199.0,73.9,5.0,4.8,False,False,True,11
975,Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,First,12.62,2198.0,158.0,7.0,31.15,False,False,False,5
976,Hyundai i20 1.2 Sportz,Pune,2011,41980,Second,17.0,1197.0,80.0,5.0,3.3,False,True,True,13
977,Chevrolet Beat Diesel PS,Bangalore,2012,65000,First,25.44,936.0,57.6,5.0,2.4,False,False,True,12
978,Honda Civic 2010-2013 1.8 V MT,Kolkata,2010,38000,First,14.8,1799.0,130.2,5.0,2.0,False,True,True,14
979,Maruti Wagon R VXI BS IV,Pune,2014,51000,First,20.51,998.0,67.04,5.0,3.1,False,True,True,10
980,Skoda Rapid 1.6 MPI Ambition Plus,Kochi,2014,33855,First,15.0,1598.0,103.6,5.0,5.09,False,True,True,10
981,Maruti Baleno Vxi - BSIII,Pune,2006,146000,Second,15.4,1590.0,94.0,5.0,1.05,False,True,True,18
982,Ford EcoSport 1.5 TDCi Titanium,Bangalore,2015,47037,Second,22.77,1498.0,98.59,5.0,7.0,False,False,True,9
983,Hyundai Accent GLE,Ahmedabad,2010,58000,Second,13.2,1495.0,94.0,5.0,2.5,False,True,True,14
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,22.48,1995.0,190.0,5.0,17.5,False,False,False,12
985,Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,First,20.92,998.0,67.1,5.0,2.1,False,True,True,13
986,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,84000,First,15.73,1968.0,174.33,5.0,17.75,False,False,False,11
988,Toyota Corolla H4,Bangalore,2005,67000,Second,11.3,1794.0,125.0,5.0,2.45,False,True,False,19
989,Volvo XC60 D5,Pune,2011,106976,First,13.5,2400.0,215.0,5.0,13.8,False,False,False,13
990,Honda Jazz 1.5 VX i DTEC,Kolkata,2016,27210,First,27.3,1498.0,98.6,5.0,5.85,False,False,True,8
991,Maruti Ciaz 1.3 Alpha,Delhi,2017,26322,First,28.09,1248.0,88.5,5.0,8.9,False,False,True,7
992,Maruti Swift VXI BSIV,Mumbai,2016,9107,First,20.4,1197.0,81.8,5.0,5.15,False,True,True,8
993,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,63983,First,19.27,2143.0,170.0,5.0,16.56,False,False,False,9
994,Maruti Wagon R VXI Minor,Chennai,2010,134000,Second,18.9,1061.0,67.0,5.0,1.65,False,True,True,14
995,Mercedes-Benz A Class A180 Sport,Pune,2015,11000,First,15.5,1595.0,120.7,5.0,16.0,False,True,False,9
996,Hyundai Santro Xing GL,Pune,2008,93000,First,0.0,1086.0,62.0,5.0,1.45,False,True,True,16
997,Maruti Swift Dzire AMT ZDI,Coimbatore,2017,24852,First,26.59,1248.0,74.0,5.0,8.08,False,False,False,7
998,Hyundai Grand i10 AT Asta,Pune,2014,37632,First,18.9,1197.0,82.0,5.0,4.5,False,True,False,10
999,Nissan Sunny 2011-2014 XV Special Edition,Chennai,2013,55000,Second,16.95,1498.0,97.7,5.0,4.3,False,True,True,11
1000,Maruti A-Star Lxi,Hyderabad,2010,81448,First,19.0,998.0,66.1,5.0,2.6,False,True,True,14
1001,Renault KWID RXT Optional,Hyderabad,2018,1900,First,25.17,799.0,53.3,5.0,4.45,False,True,True,6
1002,Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,2012,54957,First,17.1,1591.0,121.4,5.0,5.37,False,True,False,12
1003,Maruti Wagon R LXI Minor,Chennai,2008,55000,Second,18.9,1061.0,67.0,5.0,1.75,False,True,True,16
1004,BMW 3 Series 320d Sport Line,Kolkata,2013,21983,First,18.88,1995.0,184.0,5.0,16.5,False,False,False,11
1005,BMW 5 Series 2003-2012 520d,Delhi,2013,76000,First,18.48,1995.0,177.0,5.0,19.0,False,False,False,11
1006,Tata Indigo CS eVX,Jaipur,2016,65000,First,25.0,1396.0,69.01,5.0,2.8,False,False,True,8
1007,Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2015,26000,First,22.54,1396.0,88.73,5.0,6.2,False,False,True,9
1008,Maruti Omni E MPI STD BS IV,Kochi,2019,11571,First,16.8,796.0,34.2,8.0,3.8,False,True,True,5
1009,Maruti Swift ZDi,Hyderabad,2014,81000,First,25.2,1248.0,74.0,5.0,6.1,False,False,True,10
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,23.0,1498.0,98.96,5.0,11.65,False,False,True,5
1011,Honda Brio VX AT,Mumbai,2014,26856,First,16.5,1198.0,86.8,5.0,4.15,False,True,False,10
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,13.68,2393.0,147.8,7.0,16.5,False,False,True,7
1013,Mahindra Scorpio 2.6 LX,Bangalore,2008,176000,Second,10.5,2179.0,120.0,8.0,4.3,False,False,True,16
1014,Hyundai i20 1.2 Magna,Kolkata,2010,18000,First,18.5,1197.0,80.0,5.0,2.25,False,True,True,14
1015,Hyundai Verna 1.6 SX,Ahmedabad,2014,63003,First,22.32,1582.0,126.32,5.0,6.75,False,False,True,10
1016,Mahindra XUV500 W6 2WD,Chennai,2014,80000,First,15.1,2179.0,140.0,7.0,9.4,False,False,True,10
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,First,20.64,1498.0,108.5,5.0,5.39,False,False,True,10
1018,Maruti Swift Dzire VDI Optional,Kochi,2019,18592,First,26.59,1248.0,74.0,5.0,8.51,False,False,True,5
1019,Tata Manza Aura Safire BS IV,Pune,2010,75695,First,13.7,1368.0,88.8,5.0,1.85,False,True,True,14
1020,Maruti Swift VDI,Kolkata,2012,82000,Second,22.9,1248.0,74.0,5.0,2.5,False,False,True,12
1021,Volkswagen Polo Diesel Highline 1.2L,Chennai,2013,60000,First,22.07,1199.0,73.9,5.0,4.75,False,False,True,11
1022,Honda City 1.5 V MT,Pune,2009,138000,Second,17.0,1497.0,118.0,5.0,3.5,False,True,True,15
1023,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,2014,67000,First,23.0,1396.0,90.0,5.0,5.5,False,False,True,10
1024,Honda City 1.5 V MT,Coimbatore,2012,42750,First,17.0,1497.0,118.0,5.0,6.33,False,True,True,12
1025,Chevrolet Beat Diesel,Kochi,2014,52398,First,25.44,936.0,57.6,5.0,2.47,False,False,True,10
1026,Chevrolet Spark 1.0 LS,Kochi,2014,36657,First,16.2,995.0,62.1,5.0,3.3,False,True,True,10
1027,Tata New Safari DICOR 2.2 EX 4x2,Delhi,2011,77000,Second,11.57,2179.0,138.1,7.0,3.5,False,False,True,13
1028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,85000,First,11.3,2987.0,254.8,7.0,38.75,False,False,False,10
1029,BMW 5 Series 2003-2012 530d Highline,Pune,2008,112500,First,11.5,2993.0,235.0,5.0,7.99,False,False,False,16
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,First,14.24,2755.0,174.5,7.0,13.28,False,False,True,11
1031,BMW X1 sDrive 18i,Pune,2012,80000,First,11.25,1995.0,150.0,5.0,9.5,False,True,False,12
1032,Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,First,20.37,1461.0,108.45,5.0,14.01,False,False,True,5
1033,Hyundai Xcent 1.1 CRDi S,Coimbatore,2016,14656,First,24.4,1120.0,71.0,5.0,6.99,False,False,True,8
1034,BMW 3 Series 320d,Hyderabad,2010,105000,Second,13.2,1995.0,170.0,5.0,11.0,False,False,False,14
1035,BMW 5 Series 2010-2013 525i,Hyderabad,2008,61000,Second,10.8,2497.0,215.0,5.0,11.0,False,True,False,16
1036,Nissan Micra XE,Pune,2010,85046,Second,18.06,1198.0,75.0,5.0,2.3,False,True,True,14
1037,Jaguar XF 2.2 Litre Luxury,Delhi,2014,48000,First,16.36,2179.0,187.7,5.0,26.5,False,False,False,10
1038,Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,First,10.2,4367.0,308.0,7.0,67.0,False,False,False,13
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,16.0,1368.0,160.0,5.0,17.75,False,True,False,7
1040,Honda CR-V 2.4 AT,Delhi,2010,94000,Second,10.1,2354.0,152.0,5.0,4.8,False,True,False,14
1041,Maruti Swift VXI,Coimbatore,2013,61110,First,18.6,1197.0,85.8,5.0,4.57,False,True,True,11
